FIPS,,Age-Adjusted Death Rate,,,
22099,,61.5,,,
37133,,61.5,,,
54033,,61.5,,,
1043,,61.4,,,
13263,,61.4,,,
54007,,61.4,,,
1005,,61.3,,,
5045,,61.3,,,
28059,,61.3,,,
37057,,61.3,,,
39025,,61.3,,,
51005,,61.3,,,
1033,,61.2,,,
22097,,61.2,,,
26137,,61.2,,,
32019,,61.2,,,
47125,,61.2,,,
47183,,61.2,,,
21069,,61.1,,,
23029,,61.1,,,
1121,,61,,,
13283,,61,,,
32027,,61,,,
37023,,61,,,
47119,,61,,,
47017,,61,,,
13095,,60.9,,,
21157,,60.9,,,
23017,,60.9,,,
29105,,60.9,,,
40125,,60.9,,,
2261,,60.8,,,
23001,,60.8,,,
28025,,60.8,,,
17047,,60.7,,,
26123,,60.7,,,
29097,,60.7,,,
39023,,60.7,,,
54049,,60.7,,,
13275,,60.6,,,
13183,,60.6,,,
21123,,60.6,,,
21229,,60.6,,,
26049,,60.6,,,
28001,,60.6,,,
48457,,60.6,,,
53051,,60.6,,,
1103,,60.5,,,
13075,,60.5,,,
17087,,60.5,,,
21111,,60.5,,,
28127,,60.5,,,
54107,,60.5,,,
5133,,60.4,,,
22037,,60.4,,,
23019,,60.4,,,
28115,,60.4,,,
37163,,60.4,,,
1105,,60.3,,,
36089,,60.3,,,
48073,,60.3,,,
51740,,60.3,,,
1035,,60.2,,,
18013,,60.2,,,
26141,,60.2,,,
37157,,60.2,,,
37085,,60.2,,,
37151,,60.2,,,
40039,,60.2,,,
48503,,60.2,,,
48213,,60.2,,,
13023,,60.1,,,
13099,,60.1,,,
17179,,60.1,,,
17143,,60.1,,,
21015,,60.1,,,
26143,,60.1,,,
28015,,60.1,,,
29009,,60.1,,,
39089,,60.1,,,
40123,,60.1,,,
40087,,60.1,,,
48207,,60.1,,,
51119,,60.1,,,
56005,,60.1,,,
13165,,60,,,
36101,,60,,,
37177,,60,,,
39091,,60,,,
39007,,60,,,
40069,,60,,,
42059,,60,,,
48419,,60,,,
48203,,60,,,
1015,,59.9,,,
1009,,59.9,,,
6015,,59.9,,,
13069,,59.9,,,
17117,,59.9,,,
22057,,59.9,,,
28003,,59.9,,,
32001,,59.9,,,
42051,,59.9,,,
47055,,59.9,,,
48379,,59.9,,,
48349,,59.9,,,
54097,,59.9,,,
21029,,59.8,,,
24047,,59.8,,,
28133,,59.8,,,
51139,,59.8,,,
54081,,59.8,,,
1029,,59.7,,,
17185,,59.7,,,
17045,,59.7,,,
19111,,59.7,,,
21113,,59.7,,,
24045,,59.7,,,
28063,,59.7,,,
30091,,59.7,,,
41019,,59.7,,,
45015,,59.7,,,
47163,,59.7,,,
48347,,59.7,,,
51109,,59.7,,,
22029,,59.6,,,
28163,,59.6,,,
29179,,59.6,,,
47169,,59.6,,,
13217,,59.5,,,
21209,,59.5,,,
21143,,59.5,,,
22085,,59.5,,,
22011,,59.5,,,
26147,,59.5,,,
28029,,59.5,,,
37139,,59.5,,,
46019,,59.5,,,
45089,,59.4,,,
1001,,59.3,,,
5063,,59.3,,,
13107,,59.3,,,
13305,,59.3,,,
26033,,59.3,,,
29049,,59.3,,,
30097,,59.3,,,
37005,,59.3,,,
13081,,59.2,,,
16039,,59.2,,,
18059,,59.2,,,
18005,,59.2,,,
26117,,59.2,,,
37045,,59.2,,,
37041,,59.2,,,
48267,,59.2,,,
48035,,59.2,,,
51049,,59.2,,,
55077,,59.2,,,
4015,,59.1,,,
13021,,59.1,,,
18135,,59.1,,,
26059,,59.1,,,
31029,,59.1,,,
36023,,59.1,,,
37013,,59.1,,,
48483,,59.1,,,
51155,,59.1,,,
2280,,59,,,
5079,,59,,,
13045,,59,,,
20037,,59,,,
21215,,59,,,
26155,,59,,,
50011,,59,,,
26025,,58.9,,,
26129,,58.9,,,
26159,,58.9,,,
29061,,58.9,,,
37069,,58.9,,,
41041,,58.9,,,
48353,,58.9,,,
12033,,58.8,,,
22005,,58.8,,,
22089,,58.8,,,
26013,,58.8,,,
36097,,58.8,,,
47015,,58.8,,,
48067,,58.8,,,
48133,,58.8,,,
48147,,58.8,,,
31021,,58.7,,,
39081,,58.7,,,
40147,,58.7,,,
48037,,58.7,,,
5003,,58.6,,,
8099,,58.6,,,
13279,,58.6,,,
18101,,58.6,,,
18035,,58.6,,,
19057,,58.6,,,
22107,,58.6,,,
28111,,58.6,,,
29127,,58.6,,,
40065,,58.6,,,
45055,,58.6,,,
1111,,58.5,,,
5087,,58.5,,,
12019,,58.5,,,
17119,,58.5,,,
18077,,58.5,,,
21063,,58.5,,,
28033,,58.5,,,
29093,,58.5,,,
37193,,58.5,,,
37159,,58.5,,,
39017,,58.5,,,
45051,,58.5,,,
48335,,58.5,,,
18021,,58.4,,,
19039,,58.4,,,
22003,,58.4,,,
26121,,58.4,,,
29057,,58.4,,,
36083,,58.4,,,
37155,,58.4,,,
37101,,58.4,,,
48363,,58.4,,,
1057,,58.3,,,
2050,,58.3,,,
28099,,58.3,,,
40117,,58.3,,,
42101,,58.3,,,
5137,,58.2,,,
13087,,58.2,,,
36037,,58.2,,,
37191,,58.2,,,
40031,,58.2,,,
47033,,58.2,,,
20043,,58.1,,,
22019,,58.1,,,
28159,,58.1,,,
29005,,58.1,,,
37111,,58.1,,,
48099,,58.1,,,
37127,,58,,,
18125,,57.9,,,
23025,,57.9,,,
37113,,57.9,,,
39065,,57.9,,,
45021,,57.9,,,
48499,,57.9,,,
48293,,57.9,,,
54065,,57.9,,,
55031,,57.9,,,
1065,,57.8,,,
5113,,57.8,,,
18137,,57.8,,,
26073,,57.8,,,
29203,,57.8,,,
40041,,57.8,,,
48351,,57.8,,,
13317,,57.7,,,
17201,,57.7,,,
18075,,57.7,,,
26163,,57.7,,,
39135,,57.7,,,
48475,,57.7,,,
51111,,57.7,,,
13189,,57.6,,,
36041,,57.6,,,
39067,,57.6,,,
45001,,57.6,,,
46087,,57.6,,,
48459,,57.6,,,
48023,,57.6,,,
48089,,57.6,,,
1107,,57.5,,,
5141,,57.5,,,
22083,,57.5,,,
48467,,57.5,,,
17069,,57.4,,,
28147,,57.4,,,
12101,,57.3,,,
12089,,57.3,,,
23011,,57.3,,,
28007,,57.3,,,
42035,,57.3,,,
46053,,57.3,,,
47007,,57.3,,,
47075,,57.3,,,
51700,,57.3,,,
51760,,57.3,,,
13289,,57.2,,,
18163,,57.2,,,
19153,,57.2,,,
37039,,57.2,,,
48179,,57.2,,,
50005,,57.2,,,
1081,,57.1,,,
12091,,57.1,,,
17073,,57.1,,,
17187,,57.1,,,
18047,,57.1,,,
19029,,57.1,,,
21035,,57.1,,,
22109,,57.1,,,
28095,,57.1,,,
47037,,57.1,,,
10001,,57,,,
13251,,57,,,
26053,,57,,,
26115,,57,,,
28097,,57,,,
29163,,57,,,
37049,,57,,,
13319,,56.9,,,
18031,,56.9,,,
21021,,56.9,,,
22125,,56.9,,,
26105,,56.9,,,
29219,,56.9,,,
30061,,56.9,,,
37079,,56.9,,,
41033,,56.9,,,
48367,,56.9,,,
48071,,56.9,,,
50017,,56.9,,,
1077,,56.8,,,
13031,,56.8,,,
13245,,56.8,,,
17163,,56.8,,,
28149,,56.8,,,
30053,,56.8,,,
37019,,56.8,,,
37131,,56.8,,,
13197,,56.7,,,
13169,,56.7,,,
17159,,56.7,,,
17195,,56.7,,,
24011,,56.7,,,
26095,,56.7,,,
29039,,56.7,,,
38067,,56.7,,,
39133,,56.7,,,
40051,,56.7,,,
47011,,56.7,,,
48385,,56.7,,,
51187,,56.7,,,
5081,,56.6,,,
12083,,56.6,,,
18011,,56.6,,,
26087,,56.6,,,
28143,,56.6,,,
29031,,56.6,,,
37051,,56.6,,,
39039,,56.6,,,
42105,,56.6,,,
48007,,56.6,,,
48021,,56.6,,,
48365,,56.6,,,
13293,,56.5,,,
13281,,56.5,,,
17099,,56.5,,,
19175,,56.5,,,
22113,,56.5,,,
23027,,56.5,,,
39155,,56.5,,,
40043,,56.5,,,
42121,,56.5,,,
48181,,56.5,,,
13153,,56.4,,,
19073,,56.4,,,
28087,,56.4,,,
36033,,56.4,,,
40077,,56.4,,,
47003,,56.4,,,
48357,,56.4,,,
51027,,56.4,,,
1067,,56.3,,,
1049,,56.3,,,
13001,,56.3,,,
19007,,56.3,,,
19013,,56.3,,,
20147,,56.3,,,
22095,,56.3,,,
23021,,56.3,,,
36063,,56.3,,,
37161,,56.3,,,
37007,,56.3,,,
39175,,56.3,,,
39113,,56.3,,,
45041,,56.3,,,
48129,,56.3,,,
13205,,56.2,,,
18145,,56.2,,,
19019,,56.2,,,
21017,,56.2,,,
27095,,56.2,,,
28141,,56.2,,,
36053,,56.2,,,
36015,,56.2,,,
39021,,56.2,,,
39143,,56.2,,,
39139,,56.2,,,
45011,,56.2,,,
45031,,56.2,,,
1069,,56.1,,,
17023,,56.1,,,
17029,,56.1,,,
20049,,56.1,,,
20099,,56.1,,,
20085,,56.1,,,
26119,,56.1,,,
27151,,56.1,,,
29215,,56.1,,,
48251,,56.1,,,
6033,,56,,,
13105,,56,,,
13065,,56,,,
18027,,56,,,
20007,,56,,,
28067,,56,,,
37073,,56,,,
40113,,56,,,
51590,,56,,,
51650,,56,,,
1083,,55.9,,,
13237,,55.9,,,
13193,,55.9,,,
18091,,55.9,,,
27011,,55.9,,,
29059,,55.9,,,
40109,,55.9,,,
47093,,55.9,,,
53049,,55.9,,,
54075,,55.9,,,
5103,,55.8,,,
12053,,55.8,,,
17025,,55.8,,,
31173,,55.8,,,
37195,,55.8,,,
37167,,55.8,,,
48485,,55.8,,,
17061,,55.7,,,
29047,,55.7,,,
30099,,55.7,,,
36021,,55.7,,,
39123,,55.7,,,
39061,,55.7,,,
48409,,55.7,,,
48277,,55.7,,,
55107,,55.7,,,
5057,,55.6,,,
21145,,55.6,,,
22119,,55.6,,,
28153,,55.6,,,
29081,,55.6,,,
29079,,55.6,,,
48183,,55.6,,,
51036,,55.6,,,
13115,,55.5,,,
17033,,55.5,,,
19179,,55.5,,,
29145,,55.5,,,
34015,,55.5,,,
39167,,55.5,,,
12009,,55.4,,,
26131,,55.4,,,
39095,,55.4,,,
39085,,55.4,,,
45027,,55.4,,,
47103,,55.4,,,
51099,,55.4,,,
51035,,55.4,,,
6115,,55.3,,,
17063,,55.3,,,
29159,,55.3,,,
29095,,55.3,,,
38073,,55.3,,,
40145,,55.3,,,
47189,,55.3,,,
47179,,55.3,,,
48077,,55.3,,,
20089,,55.2,,,
33001,,55.2,,,
48497,,55.2,,,
1031,,55.1,,,
5029,,55.1,,,
17091,,55.1,,,
19067,,55.1,,,
19107,,55.1,,,
39093,,55.1,,,
45073,,55.1,,,
51143,,55.1,,,
51540,,55.1,,,
12079,,55,,,
13097,,55,,,
17155,,55,,,
28065,,55,,,
42089,,55,,,
45083,,55,,,
46047,,55,,,
51053,,55,,,
13287,,54.9,,,
17067,,54.9,,,
22121,,54.9,,,
26069,,54.9,,,
28053,,54.9,,,
34009,,54.9,,,
37095,,54.9,,,
39109,,54.9,,,
40105,,54.9,,,
47141,,54.9,,,
55113,,54.9,,,
13109,,54.8,,,
20041,,54.8,,,
22017,,54.8,,,
33007,,54.8,,,
5119,,54.7,,,
18113,,54.7,,,
37105,,54.7,,,
48257,,54.7,,,
51089,,54.7,,,
55057,,54.7,,,
13175,,54.6,,,
29211,,54.6,,,
39111,,54.6,,,
54105,,54.6,,,
1123,,54.5,,,
13181,,54.5,,,
18107,,54.5,,,
28101,,54.5,,,
39159,,54.5,,,
40073,,54.5,,,
45009,,54.5,,,
48167,,54.5,,,
54009,,54.5,,,
55105,,54.5,,,
1125,,54.4,,,
5123,,54.4,,,
12131,,54.4,,,
13019,,54.4,,,
16087,,54.4,,,
20031,,54.4,,,
29071,,54.4,,,
39033,,54.4,,,
39011,,54.4,,,
39043,,54.4,,,
40137,,54.4,,,
41009,,54.4,,,
45043,,54.4,,,
47051,,54.4,,,
26007,,54.3,,,
26113,,54.3,,,
29027,,54.3,,,
39045,,54.3,,,
51171,,54.3,,,
51790,,54.3,,,
51047,,54.3,,,
17057,,54.2,,,
18043,,54.2,,,
27125,,54.2,,,
30071,,54.2,,,
39117,,54.2,,,
42047,,54.2,,,
45049,,54.2,,,
47009,,54.2,,,
51137,,54.2,,,
51021,,54.2,,,
51029,,54.2,,,
53045,,54.2,,,
12127,,54.1,,,
13277,,54.1,,,
17167,,54.1,,,
22015,,54.1,,,
26057,,54.1,,,
29075,,54.1,,,
29101,,54.1,,,
36039,,54.1,,,
36117,,54.1,,,
42099,,54.1,,,
