 FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000"
22105,79.3
22107,58.5
22109,76.2
22111,78.9
22113,77.5
22115,91.7
22117,92
22119,86.3
22121,71.5
22123,78.5
22125,80.1
22127,80.3
23001,78.1
23003,84.1
23005,68.3
23007,57.7
23009,68.8
23011,75.6
23013,72
23015,50.8
23017,85.6
23019,84.4
23021,75.8
23023,66
23025,84.3
23027,83.6
23029,87.8
23031,71.7
24001,78.1
24003,64.3
24005,67.6
24009,64.7
24011,75.1
24013,61
24015,79.2
24017,55.4
24019,73.1
24021,52.7
24023,49.5
24025,68.6
24027,44.4
24029,61.1
24031,35.4
24033,46.6
24035,63.9
24037,68.8
24039,95.9
24041,51.1
24043,71.8
24045,79.4
24047,70.2
24510,80.9
25001,60
25003,70
25005,72.9
25007,53.7
25009,67.5
25011,52.1
25013,67.8
25015,52.5
25017,61.8
25019,52.8
25021,63
25023,72.4
25025,69.7
25027,69.8
26001,66.2 #  
26003,48.6 #  
26005,53.7 #  
26007,77.1 #  
26009,59.1 #  
26011,104.9 #  
26013,74.9 #  
26015,45.3 #  
26017,60.7 #  
26019,71.4 #  
26021,69.7 #  
26023,61.6 #  
26025,71.1 #  
26027,56.1 #  
26029,61.7 #  
26031,73.6 #  
26033,73.6 #  
26035,75.6 #  
26037,36.6 #  
26039,73 #  
26041,63.2 #  
26043,50.7 #  
26045,51.8 #  
26047,63 #  
26049,80.3 #  
26051,79 #  
26053,63.1 #  
26055,66.4 #  
26057,66 #  
26059,62.4 #  
26061,49.6 #  
26063,56.8 #  
26065,58.8 #  
26067,63.5 #  
26069,65.6 #  
26071,60.4 #  
26073,69.2 #  
26075,82 #  
26077,61.3 #  
26079,73.4 #  
26081,59.3 #  
26083,* 
26085,77.4 #  
26087,71.9 #  
26089,35.7 #  
26091,60 #  
26093,54.6 #  
26095,84 #  
26097,61.9 #  
26099,75.2
26101,67.3 #  
26103,64.9 #  
26105,54.9 #  
26107,69.4 #  
26109,50.1 #  
26111,58 #  
26113,73.3 #  
26115,63.6 #  
26117,75.3 #  
26119,78.6 #  
26121,77.6 #  
26123,63.8 #  
26125,62.8
26127,51.2 #  
26129,73.2 #  
26131,71.1 #  
26133,97 #  
26135,87.3 #  
26137,68.2 #  
26139,39.3 #  
26141,57.9 #  
26143,81 #  
26145,69.1 #  
26147,69.5 #  
26149,65.7 #  
26151,50.2 #  
26153,70.8 #  
26155,77.9 #  
26157,73.5 #  
26159,68.2 #  
26161,54.4 #  
26163,83
26165,90.7 #  
27001,_ 
27003,_ 
27005,_ 
27007,_ 
27009,_ 
27011,_ 
27013,_ 
27015,_ 
27017,_ 
27019,_ 
27021,_ 
27023,_ 
27025,_ 
27027,_ 
27029,_ 
27031,_ 
27033,_ 
27035,_ 
27037,_ 
27039,_ 
27041,_ 
27043,_ 
27045,_ 
27047,_ 
27049,_ 
27051,_ 
27053,_ 
27055,_ 
27057,_ 
27059,_ 
27061,_ 
27063,_ 
27065,_ 
27067,_ 
27069,_ 
27071,_ 
27073,_ 
27075,_ 
27077,_ 
27079,_ 
27081,_ 
27083,_ 
27085,_ 
27087,_ 
27089,_ 
27091,_ 
27093,_ 
27095,_ 
27097,_ 
27099,_ 
27101,_ 
27103,_ 
27105,_ 
27107,_ 
27109,_ 
27111,_ 
27113,_ 
27115,_ 
27117,_ 
27119,_ 
27121,_ 
27123,_ 
27125,_ 
27127,_ 
27129,_ 
27131,_ 
27133,_ 
27135,_ 
27137,_ 
27139,_ 
27141,_ 
27143,_ 
27145,_ 
27147,_ 
27149,_ 
27151,_ 
27153,_ 
27155,_ 
27157,_ 
27159,_ 
27161,_ 
27163,_ 
27165,_ 
27167,_ 
27169,_ 
27171,_ 
27173,_ 
28001,69
28003,75.7
28005,56.9
28007,62.5
28009,61.8
28011,76.2
28013,88.1
28015,72.3
28017,78.4
28019,44.4
28021,93.3
28023,75
28025,78.5
28027,76.3
28029,86.2
28031,78
28033,78.4
28035,84.2
28037,49.9
28039,74.7
28041,46.1
28043,93.4
28045,72.8
28047,89.5
28049,75.4
28051,95
28053,72.3
28055,* 
28057,95.6
28059,75.8
28061,78.7
28063,77.7
28065,68.6
28067,62.9
28069,57
28071,63.6
28073,62.7
28075,70.4
28077,106
28079,75
28081,91.3
28083,82.3
28085,68.5
28087,70.2
28089,70.9
28091,81.8
28093,80.6
28095,81.6
28097,65.6
28099,59.2
28101,68.2
28103,57.8
28105,51.9
28107,75.2
28109,89
28111,81.6
28113,78.4
28115,80.5
28117,82.4
28119,75.1
28121,76.4
28123,87.3
28125,55.8
28127,85.9
28129,61.9
28131,82.2
28133,65
28135,81.1
28137,87.8
28139,71.8
28141,78.4
28143,84.2
28145,72.4
28147,50.8
28149,73.7
28151,75.8
28153,61.2
28155,90.6
28157,60.5
28159,83.9
28161,114.7
28163,95.3
29001,57.8
29003,50.5
29005,71
29007,90.1
29009,77.4
29011,67.2
29013,80.8
29015,89.1
29017,96.4
29019,63.4
29021,86.8
29023,95.7
29025,89.3
29027,79.4
29029,68.6
29031,70.1
29033,94.6
29035,110
29037,70.1
29039,78.3
29041,67.7
29043,63
29045,95.2
29047,79
29049,83.5
29051,64
29053,69
29055,93.1
29057,83.3
29059,79.2
29061,75
29063,39.5
29065,74.4
29067,51.9
29069,100.1
29071,76.9
29073,64
29075,66.3
29077,69.8
29079,71.9
29081,79.6
29083,100.3
29085,73.4
29087,68.3
29089,54.6
29091,81.4
29093,103.3
29095,75.3
29097,85.8
29099,85.9
29101,66.1
29103,92.7
29105,76.5
29107,73.9
29109,66.5
29111,79.9
29113,87.7
29115,91.5
29117,86.8
29119,77.8
29121,41.9
29123,106.8
29125,60.4
29127,87.9
29129,114.1
29131,88.8
29133,100
29135,54.6
29137,77.2
29139,83
29141,85
29143,112.7
29145,57.8
29147,73.5
29149,65.2
29151,59.6
29153,78.9
29155,88.6
29157,75.1
29159,71.2
29161,71.7
29163,94.3
29165,59.8
29167,66
29169,103.4
29171,92.9
29173,67
29175,84.8
29177,92.8
29179,68.4
29181,95
29183,73.7
29185,73.6
29186,53.6
29187,106.8
29189,69
29195,74.3
29197,64.2
29199,58
29201,99
29203,70.3
29205,71.9
29207,93.4
29209,66.5
29211,88.6
29213,80.6
29215,71
29217,75.9
29219,76
29221,93
29223,114.9
